epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,132.806,0.88946,1.2936,2.20158,1.22164,0.65015,0.7466,0.82289,0.67124,0.8181,0.66693,0.80779,0.6782,0.67604,0.97663,1.74314,0.97523,0.00107532,0.00107532,0.00107532
27,143.456,0.86757,1.2017,2.15621,1.17778,0.81965,0.8161,0.89468,0.76963,0.81441,0.81297,0.88157,0.7472,0.58971,1.0443,1.48394,0.94715,0.00106118,0.00106118,0.00106118
28,148.583,0.90664,1.32171,2.10213,1.18211,0.90927,0.79527,0.8868,0.74127,0.90927,0.79527,0.88099,0.74105,0.58611,1.13487,1.52495,0.89788,0.00104703,0.00104703,0.00104703
29,151.707,0.84775,1.22326,2.05985,1.15954,0.75363,0.76222,0.85282,0.7235,0.75363,0.76222,0.85339,0.70916,0.55196,1.17444,1.43253,0.86797,0.00103288,0.00103288,0.00103288
30,154.811,0.88187,1.25766,2.03605,1.18533,0.76485,0.78115,0.84562,0.71046,0.76062,0.76911,0.83105,0.70872,0.56451,1.13677,1.4605,0.88289,0.00101873,0.00101873,0.00101873
31,157.921,0.86947,1.24378,2.18286,1.17225,0.92267,0.71617,0.83231,0.69326,0.92267,0.71617,0.83093,0.69922,0.65033,1.09965,1.79073,0.91936,0.00100459,0.00100459,0.00100459
32,161.041,0.87139,1.18127,2.03088,1.19189,0.88163,0.59987,0.79575,0.6642,0.88163,0.59987,0.77975,0.67099,0.60605,1.02397,1.9787,0.91429,0.00099044,0.00099044,0.00099044
33,164.093,0.78844,1.12639,1.87815,1.13261,0.81292,0.6319,0.78931,0.66021,0.81292,0.6319,0.78931,0.64006,0.59691,1.02312,1.83704,0.91653,0.000976293,0.000976293,0.000976293
34,167.125,0.83305,1.16956,2.07863,1.1592,0.74556,0.76839,0.86464,0.71849,0.74556,0.76839,0.84096,0.70538,0.6224,1.18811,1.62809,0.95079,0.000962146,0.000962146,0.000962146
35,170.244,0.85576,1.26632,2.03393,1.18861,0.813,0.71717,0.84987,0.69772,0.83048,0.68405,0.82665,0.69352,0.6492,1.33277,1.82403,0.94912,0.000947999,0.000947999,0.000947999
36,173.301,0.82964,1.22465,1.94943,1.14971,0.76451,0.78133,0.87666,0.73779,0.81734,0.71,0.85047,0.72965,0.57351,1.1493,1.47377,0.86228,0.000933851,0.000933851,0.000933851
37,176.336,0.77515,1.08579,1.81583,1.12513,0.95871,0.76926,0.91769,0.76057,0.95871,0.76926,0.90832,0.7735,0.60334,1.05166,1.28132,0.89363,0.000919704,0.000919704,0.000919704
38,179.498,0.7836,1.14993,1.76985,1.11612,0.85356,0.80031,0.91154,0.74903,0.85356,0.80031,0.90063,0.76541,0.61664,0.9794,1.35406,0.91806,0.000905557,0.000905557,0.000905557
39,182.567,0.8485,1.2583,1.88911,1.15556,0.85358,0.8136,0.88676,0.73671,0.85358,0.8136,0.88586,0.75158,0.61522,0.96253,1.36338,0.96395,0.00089141,0.00089141,0.00089141
40,185.635,0.85949,1.21572,1.87457,1.18369,0.79953,0.81077,0.89391,0.73074,0.79953,0.81077,0.89391,0.7537,0.63295,1.11398,1.48624,0.93611,0.000877263,0.000877263,0.000877263
41,188.72,0.8124,1.05516,1.88512,1.14811,0.79472,0.87043,0.90772,0.73827,0.79896,0.83086,0.88355,0.74747,0.6282,1.26983,1.44751,0.94529,0.000863116,0.000863116,0.000863116
42,191.808,0.8234,1.17275,1.80072,1.14305,0.72818,0.8631,0.86256,0.73223,0.91302,0.66116,0.83092,0.71072,0.58629,1.2561,1.40614,0.94651,0.000848969,0.000848969,0.000848969
43,194.84,0.8063,1.15863,1.79289,1.14904,0.75311,0.72732,0.78284,0.6243,0.75311,0.72732,0.7788,0.66122,0.67878,1.03204,1.87015,0.98179,0.000834822,0.000834822,0.000834822
44,197.961,0.85681,1.11846,1.95092,1.17175,0.79438,0.72828,0.80799,0.65047,0.79438,0.72828,0.80799,0.69955,0.67592,1.05204,2.0175,0.95144,0.000820675,0.000820675,0.000820675
45,201.243,0.92295,1.26782,1.98206,1.19285,0.80497,0.72294,0.81739,0.68516,0.80497,0.72294,0.81723,0.71565,0.62343,1.0064,1.87352,0.9084,0.000806528,0.000806528,0.000806528
46,210.601,0.79445,1.19347,1.70373,1.12821,0.81044,0.70681,0.78192,0.66747,0.81044,0.70681,0.77512,0.66921,0.61412,0.96727,1.91434,0.87708,0.00079238,0.00079238,0.00079238
47,222.184,0.79181,1.17452,1.7442,1.13073,0.7818,0.81673,0.85365,0.73534,0.7818,0.81673,0.8409,0.74317,0.57894,0.98491,1.51077,0.88782,0.000778233,0.000778233,0.000778233
48,236.081,0.83937,1.17096,1.92196,1.15933,0.93524,0.71001,0.87875,0.77326,0.93524,0.71001,0.86971,0.74701,0.55958,1.12511,1.39956,0.87107,0.000764086,0.000764086,0.000764086
49,250.806,0.79704,1.13447,1.8479,1.14006,0.83695,0.74952,0.85125,0.72111,0.83695,0.74952,0.83201,0.69513,0.60091,1.12256,1.50618,0.88649,0.000749939,0.000749939,0.000749939
50,266.085,0.73132,0.99033,1.63139,1.11085,0.83221,0.78088,0.82496,0.69118,0.83221,0.78088,0.81197,0.68483,0.61958,0.99963,1.61447,0.91685,0.000735792,0.000735792,0.000735792
51,280.085,0.76227,1.08171,1.68031,1.1288,0.83436,0.71319,0.84109,0.72647,0.83436,0.71319,0.83279,0.70968,0.55665,1.05521,1.56413,0.8637,0.000721645,0.000721645,0.000721645
