epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.60465,0.87664,1.30728,2.4568,1.18907,0.91832,0.91249,0.96688,0.8359,0.91832,0.91249,0.96688,0.85296,0.56976,0.63387,1.10286,0.84374,0.00034296,0.00034296,0.00034296
2,8.06385,0.85655,1.35198,2.36542,1.18078,0.82422,0.83798,0.89816,0.76069,0.82422,0.83798,0.87876,0.7784,0.59392,0.78266,1.58631,0.86215,0.000693278,0.000693278,0.000693278
3,11.1304,0.96159,1.37883,2.82674,1.24286,0.64136,0.66432,0.66214,0.55377,0.64136,0.66432,0.64985,0.54769,0.57302,0.84239,2.16569,0.86505,0.00103652,0.00103652,0.00103652
4,14.2107,0.94957,1.32542,2.63346,1.23678,0.87431,0.78786,0.90621,0.76732,0.87431,0.78786,0.89255,0.76432,0.60796,0.96639,1.46104,0.90686,0.00137269,0.00137269,0.00137269
5,17.4253,0.94592,1.42654,2.72113,1.22517,0.86858,0.63116,0.74379,0.63476,0.86858,0.63116,0.73943,0.60377,0.59845,1.06869,1.90293,0.88824,0.00137241,0.00137241,0.00137241
6,21.9408,0.99384,1.36027,2.50139,1.25968,0.84953,0.74847,0.84811,0.69593,0.84953,0.74847,0.84256,0.6858,0.65817,1.07042,1.70527,0.97021,0.00135826,0.00135826,0.00135826
7,35.2635,0.94644,1.49699,2.49707,1.21072,0.90952,0.77506,0.91189,0.74828,0.90952,0.77506,0.90097,0.74289,0.66877,1.09357,1.5149,1.00464,0.00134412,0.00134412,0.00134412
8,43.7624,1.04868,1.49836,2.6826,1.27779,0.88584,0.7688,0.85657,0.71278,0.88584,0.7688,0.84707,0.72684,0.65923,0.99114,1.79311,0.94209,0.00132997,0.00132997,0.00132997
9,46.9306,0.97731,1.46468,2.47671,1.24329,0.88247,0.65127,0.86711,0.70204,0.88247,0.65127,0.84245,0.71453,0.65966,0.91628,1.89051,0.93579,0.00131582,0.00131582,0.00131582
10,50.1432,0.96442,1.38094,2.54988,1.26147,0.87259,0.65997,0.852,0.667,0.87259,0.65997,0.8407,0.68447,0.6823,1.29196,1.68052,0.96977,0.00130168,0.00130168,0.00130168
11,53.5699,0.94527,1.42522,2.41418,1.23945,0.70449,0.79082,0.83836,0.67404,0.6904,0.77328,0.80393,0.67707,0.68548,1.46615,1.75335,1.02169,0.00128753,0.00128753,0.00128753
12,56.7379,0.96023,1.55673,2.43641,1.24739,0.82178,0.64705,0.79309,0.60473,0.82178,0.64705,0.79951,0.64945,0.79755,1.18813,1.92411,1.11055,0.00127338,0.00127338,0.00127338
13,59.9798,0.94873,1.35764,2.29332,1.24331,0.76868,0.7403,0.84885,0.696,0.76868,0.7403,0.84134,0.70344,0.65131,1.08663,1.76548,0.957,0.00125923,0.00125923,0.00125923
14,65.0509,1.02169,1.49797,2.54529,1.29318,0.81647,0.74101,0.88643,0.73242,0.81647,0.74101,0.8761,0.7442,0.62216,0.81792,1.82994,0.93162,0.00124509,0.00124509,0.00124509
15,78.8352,0.96272,1.46319,2.29052,1.22694,0.87894,0.73024,0.88582,0.72154,0.87894,0.73024,0.88582,0.7407,0.72699,0.91003,1.72409,0.98443,0.00123094,0.00123094,0.00123094
16,92.2177,0.96753,1.45997,2.4702,1.27241,0.7411,0.82838,0.88208,0.70039,0.75478,0.84894,0.87748,0.71838,0.83899,0.94686,1.79746,1.12216,0.00121679,0.00121679,0.00121679
17,95.6458,0.94351,1.33903,2.26095,1.24359,0.8025,0.82373,0.87907,0.70451,0.8025,0.82373,0.86117,0.72545,0.70203,0.87856,1.5704,0.99892,0.00120265,0.00120265,0.00120265
18,98.6989,1.02038,1.31741,2.53506,1.25993,0.68889,0.77475,0.78687,0.63265,0.68889,0.77475,0.78683,0.65485,0.73676,0.86252,1.85765,1.02883,0.0011885,0.0011885,0.0011885
19,101.921,0.94109,1.36713,2.43826,1.2196,0.91193,0.74222,0.88281,0.721,0.91193,0.74222,0.88231,0.76965,0.68905,0.89916,1.4339,0.97777,0.00117435,0.00117435,0.00117435
20,105.194,0.93388,1.3459,2.27822,1.20383,0.80987,0.81024,0.88348,0.74289,0.80987,0.81024,0.88066,0.76701,0.59317,0.94488,1.44074,0.90917,0.00116021,0.00116021,0.00116021
21,114.806,0.91271,1.28265,2.20592,1.198,0.87978,0.69799,0.85095,0.72856,0.86263,0.68045,0.80551,0.66772,0.60416,1.3125,1.68877,0.93743,0.00114606,0.00114606,0.00114606
22,118.352,0.92201,1.42391,2.46202,1.23347,0.81166,0.79887,0.84416,0.65292,0.7909,0.77804,0.81383,0.66361,0.77218,1.27999,1.96036,1.07712,0.00113191,0.00113191,0.00113191
23,121.443,0.94526,1.20667,2.20344,1.25512,0.90022,0.76161,0.86887,0.71262,0.90022,0.76161,0.85401,0.7256,0.7093,1.00738,1.62199,1.008,0.00111776,0.00111776,0.00111776
24,124.527,0.90507,1.32277,2.23438,1.21624,0.78863,0.67685,0.78142,0.60052,0.78863,0.67685,0.78002,0.65585,0.72141,0.89733,2.02119,1.01088,0.00110362,0.00110362,0.00110362
25,127.692,0.8763,1.21593,2.06935,1.19575,0.7782,0.81642,0.86263,0.67846,0.75744,0.79887,0.83313,0.69621,0.64141,0.89793,1.72451,0.9681,0.00108947,0.00108947,0.00108947
