epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,89.9968,0.88291,1.32602,1.22394,0.53222,0.69406,0.668,0.55219,0.68492,1.25459,1.05782,0.000848969,0.000848969,0.000848969
43,93.8926,0.96125,1.33143,1.25228,0.41321,0.70709,0.55054,0.43554,0.75081,1.49996,1.11018,0.000834822,0.000834822,0.000834822
44,98.6026,0.97262,1.42329,1.27314,0.5719,0.69952,0.65066,0.53326,0.72018,1.23482,1.0476,0.000820675,0.000820675,0.000820675
45,103.687,0.95979,1.34093,1.26389,0.5318,0.65863,0.57561,0.4773,0.75126,1.30139,1.08149,0.000806528,0.000806528,0.000806528
46,108.421,0.84932,1.26733,1.18013,0.55649,0.67549,0.60456,0.4922,0.75854,1.22028,1.11137,0.00079238,0.00079238,0.00079238
47,112.237,1.01807,1.40777,1.29881,0.5921,0.61911,0.54437,0.42268,0.68625,1.34726,1.03917,0.000778233,0.000778233,0.000778233
48,114.375,0.99761,1.39791,1.26031,0.57038,0.70316,0.58364,0.48622,0.69496,1.20109,1.02504,0.000764086,0.000764086,0.000764086
49,116.47,0.96559,1.36891,1.26066,0.49346,0.78589,0.57083,0.47157,0.69892,1.22966,1.03861,0.000749939,0.000749939,0.000749939
50,118.577,0.91797,1.33811,1.24172,0.44241,0.76584,0.51865,0.43971,0.63968,1.29443,0.99934,0.000735792,0.000735792,0.000735792
51,120.677,0.96456,1.35039,1.2704,0.42238,0.75013,0.52055,0.45055,0.62622,1.29216,0.99554,0.000721645,0.000721645,0.000721645
52,122.864,0.99196,1.38955,1.24643,0.52572,0.741,0.54218,0.46434,0.63246,1.24204,0.99747,0.000707498,0.000707498,0.000707498
53,124.959,0.88818,1.28207,1.17985,0.56262,0.67566,0.67085,0.57477,0.62525,1.16752,1.00298,0.000693351,0.000693351,0.000693351
54,127.049,0.91883,1.28803,1.2199,0.50217,0.67526,0.59187,0.48211,0.64277,1.29136,1.03024,0.000679204,0.000679204,0.000679204
55,129.231,0.94524,1.32313,1.26159,0.44051,0.77325,0.54174,0.43503,0.72208,1.31162,1.09604,0.000665057,0.000665057,0.000665057
56,131.441,0.85089,1.23094,1.19841,0.57052,0.68264,0.54007,0.43034,0.73515,1.32389,1.08021,0.000650909,0.000650909,0.000650909
57,133.545,0.93408,1.23481,1.24993,0.53546,0.59123,0.49133,0.38937,0.70739,1.36275,1.06637,0.000636762,0.000636762,0.000636762
58,135.659,0.90004,1.32858,1.20683,0.58989,0.75239,0.64338,0.50424,0.72211,1.12905,1.06631,0.000622615,0.000622615,0.000622615
59,137.718,0.91154,1.2261,1.19713,0.68103,0.73487,0.72267,0.59179,0.68555,1.01311,1.04996,0.000608468,0.000608468,0.000608468
60,139.819,0.86568,1.23586,1.18992,0.75296,0.57251,0.72218,0.61414,0.65031,1.04296,0.99734,0.000594321,0.000594321,0.000594321
61,141.906,0.87201,1.16493,1.16917,0.67892,0.67566,0.71899,0.61074,0.64584,1.04956,1.01115,0.000580174,0.000580174,0.000580174
62,143.987,0.88952,1.19,1.22081,0.69035,0.67427,0.74032,0.63991,0.64065,1.03644,1.01273,0.000566027,0.000566027,0.000566027
63,146.064,0.80749,1.11119,1.15243,0.50514,0.72741,0.6504,0.53012,0.66604,1.20581,1.02045,0.00055188,0.00055188,0.00055188
64,148.158,0.85865,1.17559,1.18629,0.66367,0.54978,0.6231,0.5168,0.61174,1.20267,0.97777,0.000537733,0.000537733,0.000537733
65,150.26,0.88818,1.27975,1.19941,0.65399,0.549,0.66793,0.56178,0.61444,1.1996,0.97673,0.000523586,0.000523586,0.000523586
66,152.322,0.85279,1.15164,1.16123,0.79561,0.55899,0.72782,0.60105,0.64616,1.06224,1.00159,0.000509438,0.000509438,0.000509438
67,154.365,0.88303,1.18753,1.2096,0.70201,0.68224,0.76545,0.62208,0.68696,0.9902,1.04024,0.000495291,0.000495291,0.000495291
68,156.435,0.87444,1.16922,1.18137,0.67842,0.68526,0.75427,0.63515,0.63835,0.96702,1.00636,0.000481144,0.000481144,0.000481144
69,158.545,0.78253,1.03711,1.14476,0.697,0.6216,0.73575,0.6189,0.62717,0.97435,0.99906,0.000466997,0.000466997,0.000466997
70,160.662,0.84623,1.1128,1.15866,0.63002,0.69978,0.69551,0.5676,0.69691,1.06977,1.03568,0.00045285,0.00045285,0.00045285
71,162.707,0.77953,1.0958,1.1256,0.66646,0.68918,0.71153,0.59887,0.62115,1.0382,0.98291,0.000438703,0.000438703,0.000438703
72,164.863,0.86174,1.15078,1.18641,0.64291,0.69696,0.72189,0.60819,0.69299,1.04895,1.01686,0.000424556,0.000424556,0.000424556
73,166.909,0.82451,1.07085,1.18477,0.73764,0.65363,0.74219,0.61304,0.72389,0.9689,1.03496,0.000410409,0.000410409,0.000410409
74,168.937,0.83586,1.07888,1.15189,0.77667,0.61696,0.74768,0.63773,0.63645,0.98535,1.00019,0.000396262,0.000396262,0.000396262
75,171.01,0.80054,1.0749,1.1368,0.68954,0.7557,0.76378,0.65881,0.61098,0.94428,0.99908,0.000382115,0.000382115,0.000382115
76,173.281,0.87118,1.11399,1.18073,0.76926,0.72428,0.79754,0.68879,0.6392,0.93459,0.99804,0.000367967,0.000367967,0.000367967
77,175.457,0.77215,0.99587,1.12503,0.7642,0.67895,0.77144,0.64655,0.66971,0.89449,0.99901,0.00035382,0.00035382,0.00035382
78,177.561,0.75341,1.04045,1.14158,0.76609,0.55132,0.71497,0.6074,0.64964,1.02933,0.99482,0.000339673,0.000339673,0.000339673
79,179.636,0.79691,0.9894,1.15662,0.68649,0.57323,0.70534,0.58901,0.66085,1.08797,1.01206,0.000325526,0.000325526,0.000325526
80,181.703,0.81976,1.04747,1.15081,0.68724,0.72525,0.78375,0.65725,0.65088,0.90903,1.00306,0.000311379,0.000311379,0.000311379
81,183.802,0.72623,0.94175,1.09575,0.86874,0.70117,0.81105,0.67691,0.66179,0.89105,0.99732,0.000297232,0.000297232,0.000297232
82,185.92,0.77732,1.00485,1.14218,0.88385,0.67357,0.80758,0.67975,0.64947,0.88237,0.97405,0.000283085,0.000283085,0.000283085
83,188.007,0.80845,0.9967,1.17501,0.97048,0.62683,0.80884,0.68437,0.6475,0.82626,0.9724,0.000268938,0.000268938,0.000268938
84,190.133,0.80183,1.06026,1.16454,0.8395,0.59418,0.77567,0.64578,0.64965,0.93964,0.98606,0.000254791,0.000254791,0.000254791
85,192.194,0.71336,0.96446,1.1044,0.68436,0.68275,0.74696,0.62743,0.64922,1.05538,0.99861,0.000240644,0.000240644,0.000240644
86,194.26,0.74124,0.93859,1.1133,0.77929,0.62185,0.7631,0.63673,0.62525,0.9514,0.9835,0.000226497,0.000226497,0.000226497
87,196.329,0.72655,0.92807,1.10773,0.83753,0.6385,0.77525,0.65927,0.63533,0.91236,0.99843,0.000212349,0.000212349,0.000212349
88,198.43,0.68835,0.88992,1.06612,0.90385,0.6008,0.77546,0.66189,0.6665,0.92659,1.03694,0.000198202,0.000198202,0.000198202
89,200.488,0.67826,0.85241,1.09827,0.9157,0.62164,0.77652,0.65962,0.66716,0.95965,1.0324,0.000184055,0.000184055,0.000184055
90,202.549,0.68612,0.86846,1.09382,0.93473,0.57093,0.77517,0.65382,0.66284,0.99093,1.0273,0.000169908,0.000169908,0.000169908
91,217.494,0.6486,0.76374,1.17885,0.9377,0.56433,0.7591,0.63555,0.6677,1.01503,1.02034,0.000155761,0.000155761,0.000155761
92,219.575,0.61465,0.72075,1.12984,0.97467,0.58655,0.76527,0.63958,0.69623,1.08765,1.04454,0.000141614,0.000141614,0.000141614
93,221.674,0.61955,0.67688,1.12142,0.91356,0.60688,0.77116,0.64746,0.70799,1.10227,1.05249,0.000127467,0.000127467,0.000127467
94,223.775,0.59594,0.66977,1.10744,0.92156,0.61517,0.78203,0.65972,0.66096,0.98213,1.01857,0.00011332,0.00011332,0.00011332
95,225.827,0.55778,0.58658,1.09192,0.90439,0.61686,0.79195,0.66461,0.64023,0.90473,0.99767,9.91726e-05,9.91726e-05,9.91726e-05
96,227.883,0.53948,0.57794,1.09297,0.85043,0.66236,0.80196,0.67957,0.62411,0.8778,0.98606,8.50255e-05,8.50255e-05,8.50255e-05
97,229.931,0.54057,0.59225,1.04287,0.90234,0.62438,0.78984,0.67596,0.63203,0.88574,0.98546,7.08784e-05,7.08784e-05,7.08784e-05
98,231.953,0.56529,0.58139,1.09145,0.91241,0.62627,0.79095,0.67725,0.6313,0.90926,0.9835,5.67313e-05,5.67313e-05,5.67313e-05
99,233.969,0.55071,0.57249,1.10458,0.88364,0.63459,0.797,0.67952,0.63655,0.90143,0.99143,4.25842e-05,4.25842e-05,4.25842e-05
100,236.041,0.54303,0.53109,1.06164,0.85516,0.63481,0.79546,0.67934,0.64463,0.90237,0.99941,2.84371e-05,2.84371e-05,2.84371e-05
