epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6143,0.83155,1.3127,2.28244,1.16132,0.8017,0.86275,0.92552,0.78996,0.8017,0.86275,0.92552,0.79955,0.58103,0.75947,1.36946,0.81783,0.00034296,0.00034296,0.00034296
2,33.5166,0.86667,1.27154,2.23739,1.20483,0.62845,0.83095,0.82818,0.69352,0.63576,0.82594,0.82605,0.70631,0.65099,0.88543,2.17369,0.8864,0.000693278,0.000693278,0.000693278
3,47.3446,0.98666,1.51366,2.5755,1.28689,0.67122,0.69312,0.80541,0.65934,0.66342,0.69787,0.79472,0.64685,0.67339,1.00502,2.07668,0.9335,0.00103652,0.00103652,0.00103652
4,60.0965,0.92178,1.43288,2.40238,1.22475,0.57193,0.74555,0.7282,0.6172,0.56391,0.77249,0.73346,0.58923,0.6448,1.43466,2.80135,0.91313,0.00137269,0.00137269,0.00137269
5,70.6327,0.91687,1.40467,2.38841,1.20712,0.69227,0.66402,0.7201,0.60518,0.69227,0.66402,0.7201,0.5882,0.65294,1.0772,2.48406,0.87914,0.00137241,0.00137241,0.00137241
6,85.5653,0.95844,1.42555,2.4232,1.25101,0.62102,0.63354,0.65517,0.53316,0.60017,0.6018,0.64985,0.51413,0.69828,1.29034,3.07007,0.91621,0.00135826,0.00135826,0.00135826
7,99.2463,0.9877,1.40006,2.47944,1.24577,0.58015,0.58781,0.62114,0.49217,0.58015,0.58781,0.62114,0.48811,0.83258,1.33333,3.60379,1.00313,0.00134412,0.00134412,0.00134412
8,110.715,0.95035,1.57249,2.50312,1.25557,0.61371,0.66201,0.70331,0.54763,0.62389,0.6667,0.70989,0.54825,0.71867,1.36259,2.98041,0.95286,0.00132997,0.00132997,0.00132997
9,122.22,1.00482,1.57307,2.51206,1.28004,0.72842,0.58466,0.75111,0.59141,0.72842,0.58466,0.75162,0.59002,0.73962,1.50924,2.55484,0.96884,0.00131582,0.00131582,0.00131582
10,133.359,0.98095,1.49272,2.38931,1.2752,0.67014,0.65128,0.74265,0.59578,0.648,0.63368,0.73467,0.59497,0.77021,1.17609,2.3618,0.99855,0.00130168,0.00130168,0.00130168
