epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
11,144.534,0.95963,1.39723,2.43332,1.25123,0.71318,0.55863,0.69715,0.55723,0.69557,0.55084,0.68432,0.54205,0.71781,1.28546,2.61147,0.93324,0.00128753,0.00128753,0.00128753
12,156.121,0.91308,1.29554,2.3478,1.21023,0.63128,0.5291,0.61705,0.49641,0.69677,0.47354,0.60251,0.49531,0.71294,1.32076,3.14304,0.94877,0.00127338,0.00127338,0.00127338
13,168.086,0.9196,1.41025,2.33664,1.21285,0.56642,0.63987,0.65779,0.52631,0.55701,0.62168,0.64481,0.52565,0.75249,1.30564,2.97398,0.97707,0.00125923,0.00125923,0.00125923
14,181.204,1.04085,1.6016,2.55072,1.30103,0.58519,0.65618,0.6477,0.50584,0.57469,0.63901,0.64379,0.5098,0.81678,1.16744,3.06943,1.01369,0.00124509,0.00124509,0.00124509
15,193.687,0.88154,1.29621,2.20694,1.22147,0.62045,0.62169,0.6869,0.56562,0.62045,0.62169,0.67916,0.56611,0.70027,1.07895,2.38991,0.90976,0.00123094,0.00123094,0.00123094
16,205.659,1.02572,1.43707,2.43582,1.29334,0.76439,0.62169,0.72598,0.56649,0.74112,0.60317,0.70355,0.58347,0.86529,1.15334,2.48181,1.01457,0.00121679,0.00121679,0.00121679
17,210.868,0.94139,1.38411,2.29659,1.22773,0.5482,0.63082,0.67864,0.51304,0.53724,0.61285,0.66335,0.50513,0.91006,1.3385,2.5889,1.07529,0.00120265,0.00120265,0.00120265
18,213.988,0.8929,1.31755,2.18617,1.21319,0.68526,0.5889,0.72145,0.58363,0.61985,0.64852,0.7092,0.57923,0.76902,1.29685,2.84497,0.98253,0.0011885,0.0011885,0.0011885
19,217.126,0.92937,1.44751,2.2211,1.23625,0.61378,0.66402,0.71899,0.56229,0.82693,0.50665,0.70135,0.57535,0.79073,1.26634,3.01961,1.02738,0.00117435,0.00117435,0.00117435
20,220.421,0.91718,1.36485,2.27548,1.22113,0.66777,0.62232,0.66699,0.54224,0.64935,0.59081,0.65606,0.53299,0.77409,1.42791,2.93636,1.04791,0.00116021,0.00116021,0.00116021
21,223.654,0.86994,1.29978,2.06571,1.18528,0.61442,0.7437,0.69995,0.56285,0.57992,0.68836,0.6797,0.55749,0.80997,1.33501,2.59836,1.02763,0.00114606,0.00114606,0.00114606
22,226.795,0.91191,1.39885,2.19766,1.20456,0.77354,0.56489,0.65787,0.51904,0.75357,0.54637,0.62513,0.5144,0.82666,1.35388,2.64606,1.01807,0.00113191,0.00113191,0.00113191
23,229.95,0.85536,1.29772,2.03289,1.20983,0.5613,0.75993,0.69175,0.57485,0.5536,0.73985,0.68372,0.56236,0.67367,1.20443,2.58796,0.91405,0.00111776,0.00111776,0.00111776
24,233.085,0.90396,1.30773,2.21236,1.20954,0.70188,0.51998,0.65177,0.52821,0.70188,0.51998,0.64265,0.53774,0.75604,1.23521,3.01844,0.95328,0.00110362,0.00110362,0.00110362
25,236.233,0.93003,1.45759,2.19522,1.2283,0.57682,0.79181,0.70916,0.56933,0.63468,0.65873,0.70024,0.58621,0.77323,1.14754,2.91019,0.97237,0.00108947,0.00108947,0.00108947
26,239.319,0.90067,1.33142,2.16993,1.20478,0.51158,0.72691,0.70085,0.57762,0.51771,0.72487,0.69119,0.55637,0.77555,1.6031,2.8689,1.0414,0.00107532,0.00107532,0.00107532
27,242.522,0.86767,1.28239,2.01499,1.17988,0.65544,0.75884,0.75587,0.62813,0.65544,0.75884,0.75373,0.62008,0.70008,1.33896,2.42292,0.94194,0.00106118,0.00106118,0.00106118
28,245.726,0.89726,1.41687,2.09098,1.21619,0.65588,0.75783,0.74576,0.59911,0.64151,0.73986,0.72926,0.60015,0.74476,1.39421,2.29359,0.96299,0.00104703,0.00104703,0.00104703
29,248.927,0.94234,1.43022,2.23088,1.24258,0.69261,0.67149,0.69239,0.56263,0.69585,0.66195,0.67389,0.56577,0.75015,1.18554,2.59251,0.99609,0.00103288,0.00103288,0.00103288
30,252.101,0.88537,1.25026,1.98448,1.19839,0.68066,0.62059,0.69488,0.58599,0.68066,0.62059,0.68267,0.58163,0.75826,1.36824,2.8609,1.01389,0.00101873,0.00101873,0.00101873
31,255.345,0.83892,1.31183,1.99495,1.17039,0.70943,0.65608,0.73086,0.62242,0.70943,0.65608,0.72239,0.61217,0.71937,1.29168,2.7372,0.98885,0.00100459,0.00100459,0.00100459
32,258.608,0.89435,1.17959,1.93454,1.22721,0.7486,0.68291,0.74103,0.61882,0.7486,0.68291,0.72995,0.60638,0.70841,1.21473,2.40068,0.97623,0.00099044,0.00099044,0.00099044
33,261.839,0.81514,1.17101,1.8541,1.14168,0.66508,0.75957,0.7346,0.60903,0.66508,0.75957,0.7346,0.59321,0.75024,1.28521,2.63394,0.98341,0.000976293,0.000976293,0.000976293
34,265.186,0.82507,1.27845,1.89985,1.13167,0.74294,0.67038,0.73866,0.6152,0.74294,0.67038,0.73866,0.60109,0.72415,1.40739,2.9967,0.95879,0.000962146,0.000962146,0.000962146
35,268.509,0.80238,1.16201,1.85111,1.13923,0.7146,0.62963,0.73385,0.61741,0.70798,0.61111,0.73087,0.60629,0.66414,1.29657,2.67257,0.92959,0.000947999,0.000947999,0.000947999
36,271.673,0.83091,1.19773,1.76181,1.14031,0.64256,0.65901,0.71275,0.59363,0.64256,0.65901,0.71186,0.5895,0.72398,1.34592,2.73156,0.99077,0.000933851,0.000933851,0.000933851
37,274.916,0.81635,1.18578,1.84479,1.16012,0.74167,0.59952,0.70139,0.5768,0.74167,0.59952,0.70327,0.5789,0.79758,1.32448,2.99506,1.05238,0.000919704,0.000919704,0.000919704
38,278.053,0.86,1.16394,1.87556,1.20309,0.72587,0.63228,0.70419,0.5913,0.72587,0.63228,0.69896,0.57107,0.65181,1.14849,2.78943,0.92003,0.000905557,0.000905557,0.000905557
39,281.14,0.82325,1.18397,1.92282,1.15023,0.64752,0.72678,0.73164,0.60575,0.63586,0.70988,0.71155,0.58023,0.64977,1.23626,2.75598,0.93374,0.00089141,0.00089141,0.00089141
40,284.219,0.76932,1.14004,1.8362,1.12664,0.79524,0.67737,0.76825,0.63631,0.79524,0.67737,0.75599,0.60777,0.6379,1.38284,2.41441,0.92154,0.000877263,0.000877263,0.000877263
41,287.33,0.83126,1.21205,1.9029,1.17973,0.7534,0.59689,0.74736,0.6092,0.7534,0.59689,0.74193,0.60384,0.70024,1.25605,2.75124,0.94945,0.000863116,0.000863116,0.000863116
42,290.476,0.85115,1.26668,1.90422,1.18203,0.6368,0.6743,0.7392,0.60294,0.6368,0.6743,0.73538,0.6064,0.71076,1.13767,2.7565,0.95163,0.000848969,0.000848969,0.000848969
43,293.548,0.79806,1.1097,1.82561,1.14085,0.72039,0.62853,0.72806,0.61869,0.72039,0.62853,0.72806,0.58712,0.60747,1.2646,2.65868,0.8813,0.000834822,0.000834822,0.000834822
44,296.645,0.8501,1.30965,1.97338,1.16926,0.74885,0.60595,0.72855,0.60236,0.74885,0.60595,0.72743,0.59098,0.63729,1.26038,2.65145,0.90096,0.000820675,0.000820675,0.000820675
45,299.782,0.80798,1.20248,1.86276,1.17017,0.69719,0.62698,0.71344,0.59466,0.69719,0.62698,0.71048,0.58541,0.7351,1.28,2.67947,0.999,0.000806528,0.000806528,0.000806528
46,302.884,0.7548,1.07811,1.71242,1.11255,0.54844,0.78042,0.73132,0.59718,0.58938,0.68783,0.7201,0.59271,0.7132,1.31526,2.95887,0.94261,0.00079238,0.00079238,0.00079238
47,306.027,0.75252,1.09674,1.7203,1.12932,0.65949,0.7047,0.72226,0.59217,0.65949,0.7047,0.7137,0.59319,0.73816,1.33389,2.97993,0.97597,0.000778233,0.000778233,0.000778233
48,309.123,0.81215,1.12025,1.86765,1.16932,0.65859,0.67254,0.69542,0.57305,0.65859,0.67254,0.68775,0.57173,0.72777,1.32894,2.67301,0.94966,0.000764086,0.000764086,0.000764086
49,312.24,0.78883,1.07858,1.78003,1.15273,0.66977,0.73545,0.74844,0.61542,0.66977,0.73545,0.73774,0.60688,0.68925,1.24156,2.38643,0.92887,0.000749939,0.000749939,0.000749939
50,315.322,0.80863,1.1721,1.70194,1.16101,0.5826,0.76453,0.75812,0.62142,0.67255,0.68783,0.75787,0.62492,0.72229,1.28679,2.57219,0.95799,0.000735792,0.000735792,0.000735792
51,318.417,0.78135,1.07912,1.78597,1.13517,0.75512,0.59865,0.71784,0.59089,0.77271,0.61698,0.72243,0.58662,0.73111,1.32222,2.85742,0.97401,0.000721645,0.000721645,0.000721645
