epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,175.915,0.95668,1.40111,1.25983,0.40301,0.64411,0.52379,0.40674,0.73526,1.34597,1.17815,0.000848969,0.000848969,0.000848969
43,181.242,0.96164,1.39292,1.24608,0.40928,0.67791,0.53339,0.41228,0.72867,1.38883,1.15358,0.000834822,0.000834822,0.000834822
44,186.2,1.00451,1.51864,1.27661,0.52636,0.63636,0.54538,0.42576,0.76652,1.26273,1.19095,0.000820675,0.000820675,0.000820675
45,190.958,0.94521,1.37516,1.2631,0.54957,0.62646,0.59974,0.46386,0.61889,1.13366,1.08082,0.000806528,0.000806528,0.000806528
46,195.709,0.91747,1.33546,1.21415,0.52762,0.61785,0.58045,0.43575,0.71781,1.17157,1.09319,0.00079238,0.00079238,0.00079238
47,200.469,1.01475,1.40632,1.30506,0.46783,0.71448,0.5949,0.44765,0.76912,1.10731,1.14725,0.000778233,0.000778233,0.000778233
48,205.335,0.94297,1.38855,1.24972,0.42689,0.66566,0.51967,0.41804,0.63424,1.222,1.07891,0.000764086,0.000764086,0.000764086
49,210.146,0.89811,1.30961,1.22073,0.42617,0.74007,0.53683,0.41881,0.70854,1.23971,1.11759,0.000749939,0.000749939,0.000749939
50,214.969,0.92229,1.356,1.23103,0.46524,0.66873,0.51873,0.39836,0.69809,1.26137,1.14544,0.000735792,0.000735792,0.000735792
51,219.71,0.93073,1.33613,1.24453,0.53177,0.66692,0.55137,0.44916,0.62766,1.11816,1.06911,0.000721645,0.000721645,0.000721645
52,224.851,0.90869,1.36367,1.20734,0.64975,0.57201,0.60447,0.43976,0.75907,1.12005,1.15965,0.000707498,0.000707498,0.000707498
53,229.74,0.89701,1.2854,1.21286,0.63482,0.62828,0.63542,0.46953,0.71599,1.06107,1.13471,0.000693351,0.000693351,0.000693351
54,234.809,0.85614,1.20813,1.17999,0.43164,0.72155,0.56899,0.44273,0.68093,1.10123,1.0839,0.000679204,0.000679204,0.000679204
55,239.984,0.91634,1.32473,1.23481,0.45066,0.62862,0.53472,0.41223,0.73142,1.1687,1.12786,0.000665057,0.000665057,0.000665057
56,245.18,0.82413,1.19887,1.15336,0.45646,0.70052,0.5639,0.46751,0.62125,1.03042,1.04084,0.000650909,0.000650909,0.000650909
57,250.179,0.89494,1.19861,1.19892,0.59654,0.58379,0.61903,0.49654,0.66179,1.0725,1.07756,0.000636762,0.000636762,0.000636762
58,255.022,0.87877,1.21134,1.19966,0.75936,0.54944,0.62386,0.49093,0.7345,1.01618,1.11316,0.000622615,0.000622615,0.000622615
59,259.579,0.93494,1.24878,1.2237,0.6439,0.49749,0.6021,0.48273,0.64917,1.10192,1.07826,0.000608468,0.000608468,0.000608468
60,264.141,0.86569,1.17456,1.18014,0.58363,0.52694,0.5422,0.43618,0.71049,1.32917,1.10466,0.000594321,0.000594321,0.000594321
61,268.621,0.83462,1.14517,1.16578,0.49699,0.56195,0.53639,0.43448,0.69322,1.29523,1.09311,0.000580174,0.000580174,0.000580174
62,273.127,0.86194,1.14685,1.19023,0.57272,0.59461,0.58034,0.47993,0.67951,1.12745,1.07883,0.000566027,0.000566027,0.000566027
63,277.718,0.8647,1.18134,1.17957,0.44655,0.6734,0.54745,0.45637,0.6215,1.12352,1.06445,0.00055188,0.00055188,0.00055188
64,282.296,0.86545,1.14197,1.19248,0.73975,0.50471,0.5976,0.47661,0.68278,1.09252,1.08002,0.000537733,0.000537733,0.000537733
65,286.808,0.93285,1.22947,1.22804,0.6366,0.61242,0.62658,0.50512,0.70622,0.97629,1.12734,0.000523586,0.000523586,0.000523586
66,291.332,0.89256,1.16677,1.15577,0.61416,0.62357,0.63817,0.52874,0.64795,0.92543,1.08678,0.000509438,0.000509438,0.000509438
