epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,89.5828,0.87826,1.36698,2.15155,1.19531,0.85556,0.57077,0.75355,0.6185,0.85556,0.57077,0.74666,0.61894,0.69829,1.34837,2.62421,0.97394,0.00103288,0.00103288,0.00103288
30,92.6419,0.84926,1.29092,1.9495,1.17946,0.77051,0.73716,0.78482,0.64714,0.77051,0.73716,0.77578,0.64611,0.80065,1.45358,2.47513,1.06813,0.00101873,0.00101873,0.00101873
31,95.7149,0.82941,1.30583,1.94499,1.16863,0.71724,0.65268,0.74207,0.6337,0.71724,0.65268,0.75258,0.62355,0.72353,1.29459,2.45348,0.99092,0.00100459,0.00100459,0.00100459
32,98.8693,0.86164,1.2031,1.91705,1.21667,0.76057,0.62698,0.72678,0.58324,0.76057,0.62698,0.71447,0.58252,0.74969,1.24683,2.91553,0.99844,0.00099044,0.00099044,0.00099044
33,101.988,0.81076,1.1262,1.89071,1.14255,0.86815,0.63751,0.75737,0.59881,0.86815,0.63751,0.74808,0.60204,0.83247,1.2624,2.52528,1.02243,0.000976293,0.000976293,0.000976293
34,105.2,0.81916,1.23301,1.90327,1.1434,0.84172,0.54467,0.72748,0.57647,0.84172,0.54467,0.72686,0.57898,0.78742,1.2673,2.67057,0.98444,0.000962146,0.000962146,0.000962146
35,108.312,0.84834,1.1443,1.91613,1.15228,0.61605,0.75708,0.69749,0.58293,0.61781,0.75708,0.71404,0.58921,0.67477,1.12468,2.70471,0.93885,0.000947999,0.000947999,0.000947999
36,111.383,0.81248,1.18761,1.7978,1.1399,0.71623,0.64815,0.69942,0.58011,0.71154,0.63074,0.68485,0.57551,0.69713,1.14801,2.71666,0.93661,0.000933851,0.000933851,0.000933851
37,114.523,0.80894,1.19157,1.88642,1.14317,0.61454,0.73141,0.71904,0.59807,0.65034,0.66402,0.71375,0.58633,0.67547,1.17171,2.66317,0.9027,0.000919704,0.000919704,0.000919704
38,117.563,0.85542,1.19567,1.94392,1.19506,0.73066,0.6455,0.70904,0.60676,0.73066,0.6455,0.70454,0.58895,0.64805,1.1249,2.7054,0.89369,0.000905557,0.000905557,0.000905557
