epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.24237,1.46673,3.46462,1.715,0.00341,1,0.4327,0.2676,0.76175,2.99127,1.18793,0.00017148,0.00017148,0.00017148
2,13.761,1.18239,2.75311,1.52867,0.00333,1,0.44082,0.28844,0.76562,2.79426,1.19361,0.000353713,0.000353713,0.000353713
3,18.5588,1.229,2.56259,1.51505,0.38997,0.15689,0.39256,0.21907,0.98984,2.55373,1.43898,0.000532268,0.000532268,0.000532268
4,21.7423,1.22687,2.40412,1.45473,0.2026,0.28728,0.28525,0.17156,0.9975,2.77142,1.41201,0.000707145,0.000707145,0.000707145
5,23.7816,1.10061,2.2803,1.40742,0.25568,0.38226,0.42003,0.29694,0.83243,2.42148,1.31271,0.000878343,0.000878343,0.000878343
6,25.8691,1.24262,2.29353,1.49356,0.88967,0.19298,0.31056,0.19793,1.12262,2.90909,1.57803,0.00104586,0.00104586,0.00104586
7,27.8831,1.14617,2.21971,1.40114,0.17711,0.42658,0.26568,0.1689,1.07015,2.99686,1.61717,0.00120971,0.00120971,0.00120971
8,29.9529,1.20236,2.23376,1.46214,0.44028,0.65611,0.50806,0.29807,1.07993,5.59565,1.84263,0.00132997,0.00132997,0.00132997
9,32.0039,1.17383,2.17879,1.41056,0.33528,0.73672,0.40979,0.2193,1.31784,7.33996,2.40692,0.00131582,0.00131582,0.00131582
10,34.0652,1.21001,2.19438,1.45632,0.45139,0.69799,0.51039,0.3678,1.07461,7.18678,1.77064,0.00130168,0.00130168,0.00130168
11,36.1161,1.27432,2.19997,1.50819,0.33445,0.62789,0.40944,0.27006,1.14422,4.11722,1.67742,0.00128753,0.00128753,0.00128753
12,38.2408,1.20986,2.06745,1.41829,0.43226,0.7565,0.58026,0.41395,1.03341,2.89061,1.52619,0.00127338,0.00127338,0.00127338
13,40.2934,1.18839,1.95072,1.42652,0.50866,0.63249,0.58495,0.42977,0.99351,1.94387,1.48785,0.00125923,0.00125923,0.00125923
14,42.3689,1.17896,2.11517,1.44086,0.51273,0.61891,0.57846,0.42961,1.02107,2.42389,1.54111,0.00124509,0.00124509,0.00124509
15,44.3851,1.09433,1.94013,1.39246,0.41787,0.50815,0.4707,0.37342,0.86591,2.34631,1.3289,0.00123094,0.00123094,0.00123094
16,46.4329,1.15789,1.93193,1.42248,0.26925,0.41761,0.32304,0.18129,1.09718,2.58895,1.55175,0.00121679,0.00121679,0.00121679
17,48.4687,1.14264,1.87451,1.37992,0.32491,0.62531,0.4832,0.28888,1.15972,2.06853,1.60567,0.00120265,0.00120265,0.00120265
18,50.5187,1.16553,1.85532,1.38607,0.45774,0.62274,0.58956,0.4006,1.08357,1.73688,1.62533,0.0011885,0.0011885,0.0011885
19,52.5374,1.19208,1.8615,1.41816,0.42809,0.58521,0.63157,0.43187,1.03745,1.63255,1.53169,0.00117435,0.00117435,0.00117435
20,54.6603,1.11215,1.74041,1.35954,0.49096,0.72343,0.61561,0.43845,1.00427,1.47092,1.48963,0.00116021,0.00116021,0.00116021
21,56.7641,1.1208,1.72916,1.36541,0.48951,0.70034,0.6651,0.44935,1.04431,1.53281,1.46186,0.00114606,0.00114606,0.00114606
22,58.8684,1.1297,1.71038,1.33657,0.37003,0.60942,0.5031,0.36746,0.90945,1.65146,1.36579,0.00113191,0.00113191,0.00113191
23,60.9295,1.07506,1.72822,1.33012,0.37275,0.65132,0.53025,0.39156,0.9036,1.6757,1.32365,0.00111776,0.00111776,0.00111776
24,63.0068,1.07786,1.73044,1.32666,0.40389,0.6792,0.53946,0.39848,0.89262,1.43925,1.30918,0.00110362,0.00110362,0.00110362
25,65.1341,1.05951,1.67891,1.31771,0.62835,0.64341,0.68005,0.49191,1.01987,1.36062,1.42336,0.00108947,0.00108947,0.00108947
26,67.2845,1.07953,1.6673,1.3315,0.70563,0.59734,0.69107,0.50865,0.98418,1.27852,1.37701,0.00107532,0.00107532,0.00107532
27,69.3253,1.04239,1.53525,1.31029,0.6908,0.5396,0.68192,0.53799,0.84613,1.42882,1.27409,0.00106118,0.00106118,0.00106118
28,71.4399,1.07724,1.63866,1.3345,0.36856,0.71758,0.55193,0.3585,0.91969,1.64813,1.38427,0.00104703,0.00104703,0.00104703
29,73.5592,1.00447,1.58388,1.32361,0.47143,0.83626,0.58606,0.41444,0.9846,1.41451,1.43993,0.00103288,0.00103288,0.00103288
30,75.6209,1.01003,1.54241,1.29557,0.42253,0.715,0.59685,0.44798,0.96583,1.63685,1.37061,0.00101873,0.00101873,0.00101873
31,78.2123,1.0681,1.58146,1.32016,0.52673,0.75313,0.6484,0.46936,0.96069,1.46028,1.39122,0.00100459,0.00100459,0.00100459
32,83.8674,0.98704,1.5744,1.27629,0.52771,0.66534,0.66918,0.52402,0.86747,1.41112,1.27544,0.00099044,0.00099044,0.00099044
33,89.4406,0.96746,1.46176,1.2379,0.58335,0.62296,0.66947,0.52098,0.79618,1.15209,1.2031,0.000976293,0.000976293,0.000976293
34,94.4585,0.94524,1.46708,1.24475,0.5327,0.82299,0.61551,0.47657,0.86531,1.29248,1.26343,0.000962146,0.000962146,0.000962146
35,99.524,0.98794,1.51762,1.27462,0.48762,0.65285,0.53189,0.42427,0.86856,1.65185,1.26757,0.000947999,0.000947999,0.000947999
36,104.622,0.94987,1.40397,1.25034,0.61929,0.67152,0.66797,0.53036,0.88265,1.22983,1.27751,0.000933851,0.000933851,0.000933851
37,109.759,0.89311,1.47882,1.22077,0.55596,0.76244,0.64194,0.51353,0.78548,1.20839,1.22465,0.000919704,0.000919704,0.000919704
38,114.886,0.98637,1.45407,1.27128,0.50618,0.78925,0.63466,0.48955,0.76206,1.17442,1.21066,0.000905557,0.000905557,0.000905557
39,119.907,1.01162,1.4828,1.27184,0.48055,0.66197,0.6063,0.48034,0.77804,1.2529,1.25281,0.00089141,0.00089141,0.00089141
40,124.916,0.95301,1.4025,1.24849,0.64748,0.75423,0.68342,0.5342,0.80905,1.11898,1.22616,0.000877263,0.000877263,0.000877263
41,130.03,1.00972,1.38914,1.28059,0.67701,0.77649,0.79945,0.63253,0.78509,1.0064,1.1867,0.000863116,0.000863116,0.000863116
42,135.013,0.91848,1.31813,1.24346,0.52038,0.66729,0.68816,0.55651,0.75055,1.20165,1.18746,0.000848969,0.000848969,0.000848969
43,140.059,1.02442,1.3433,1.29185,0.61323,0.70958,0.66647,0.55182,0.64976,1.17433,1.092,0.000834822,0.000834822,0.000834822
44,144.933,1.01405,1.47978,1.2929,0.6727,0.67291,0.71369,0.56328,0.73554,1.21604,1.1519,0.000820675,0.000820675,0.000820675
45,150.16,0.935,1.44992,1.25324,0.69518,0.63315,0.75178,0.58049,0.72475,1.18775,1.15448,0.000806528,0.000806528,0.000806528
46,155.149,0.88223,1.25036,1.20826,0.56241,0.68862,0.71804,0.53973,0.82062,1.20348,1.26126,0.00079238,0.00079238,0.00079238
47,160.16,0.94718,1.3191,1.25825,0.82164,0.59837,0.76969,0.60178,0.86105,1.10884,1.27329,0.000778233,0.000778233,0.000778233
