epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,127.242,0.9459,1.36655,1.26035,0.46965,0.57235,0.5076,0.41498,0.79611,1.46026,1.0933,0.000848969,0.000848969,0.000848969
43,129.359,0.8892,1.4026,1.20637,0.61397,0.56614,0.60018,0.47528,0.8539,1.32971,1.1773,0.000834822,0.000834822,0.000834822
44,131.522,0.92595,1.37103,1.25029,0.64314,0.51236,0.58284,0.46873,0.94134,1.46339,1.22615,0.000820675,0.000820675,0.000820675
45,133.581,0.93957,1.3513,1.26157,0.65245,0.46636,0.55071,0.44975,0.88773,1.40035,1.1868,0.000806528,0.000806528,0.000806528
46,135.652,0.84001,1.29666,1.15845,0.52036,0.66009,0.55944,0.45645,0.86759,1.36658,1.16565,0.00079238,0.00079238,0.00079238
47,137.7,0.91642,1.32564,1.27922,0.6779,0.51058,0.60338,0.49459,0.87911,1.3555,1.16074,0.000778233,0.000778233,0.000778233
48,139.829,0.95306,1.35995,1.24048,0.37392,0.55843,0.51889,0.42079,0.81252,1.57655,1.1311,0.000764086,0.000764086,0.000764086
49,141.869,0.90316,1.28085,1.22823,0.50887,0.57143,0.59345,0.49021,0.81416,1.27849,1.10589,0.000749939,0.000749939,0.000749939
50,143.907,0.88189,1.25765,1.21373,0.46676,0.55301,0.56543,0.4559,0.87015,1.30398,1.16041,0.000735792,0.000735792,0.000735792
51,145.966,0.88334,1.27222,1.19857,0.35906,0.66402,0.54998,0.44423,0.86969,1.39912,1.19803,0.000721645,0.000721645,0.000721645
52,148.049,0.87332,1.24171,1.19845,0.57261,0.40741,0.54508,0.43477,0.78502,1.39719,1.11211,0.000707498,0.000707498,0.000707498
53,150.136,0.83682,1.17318,1.17897,0.80835,0.43651,0.57446,0.47073,0.79348,1.37769,1.13763,0.000693351,0.000693351,0.000693351
54,152.252,0.88163,1.21507,1.21778,0.60667,0.49151,0.58446,0.47421,0.83659,1.36026,1.15929,0.000679204,0.000679204,0.000679204
55,154.299,0.91623,1.24119,1.22904,0.58555,0.51587,0.56531,0.46394,0.82268,1.39836,1.14125,0.000665057,0.000665057,0.000665057
56,156.499,0.82849,1.12971,1.176,0.38465,0.67651,0.58265,0.47715,0.82905,1.34826,1.15117,0.000650909,0.000650909,0.000650909
57,158.542,0.82068,1.19249,1.18387,0.54686,0.53439,0.55971,0.47497,0.80436,1.35816,1.12776,0.000636762,0.000636762,0.000636762
58,160.621,0.84992,1.18658,1.21312,0.70583,0.42593,0.57892,0.47862,0.8974,1.30603,1.20838,0.000622615,0.000622615,0.000622615
59,162.722,0.93434,1.21705,1.24258,0.74017,0.48724,0.61314,0.48075,0.93649,1.33642,1.2511,0.000608468,0.000608468,0.000608468
60,164.827,0.81145,1.13018,1.16813,0.50616,0.5535,0.59544,0.48715,0.89009,1.55223,1.22015,0.000594321,0.000594321,0.000594321
61,166.908,0.9019,1.13403,1.19188,0.50197,0.52381,0.58019,0.47365,0.85175,1.67452,1.1291,0.000580174,0.000580174,0.000580174
62,169.049,0.85529,1.12827,1.16874,0.67737,0.42746,0.58919,0.4949,0.79784,1.35799,1.07661,0.000566027,0.000566027,0.000566027
63,171.167,0.80207,1.08797,1.13438,0.55167,0.62173,0.61891,0.50607,0.83473,1.28668,1.09747,0.00055188,0.00055188,0.00055188
64,173.363,0.78459,1.10804,1.16661,0.53427,0.64526,0.59354,0.48454,0.78581,1.2786,1.09056,0.000537733,0.000537733,0.000537733
65,175.443,0.90012,1.15645,1.23461,0.5049,0.65079,0.58992,0.49494,0.74748,1.24488,1.06726,0.000523586,0.000523586,0.000523586
66,177.512,0.83789,1.08656,1.17235,0.79253,0.58716,0.63502,0.53858,0.77478,1.24457,1.05904,0.000509438,0.000509438,0.000509438
67,179.607,0.81988,1.07096,1.15216,0.6431,0.56614,0.62896,0.52985,0.79669,1.2548,1.08566,0.000495291,0.000495291,0.000495291
68,181.713,0.87362,1.12007,1.20041,0.73615,0.53439,0.61952,0.52969,0.75482,1.23623,1.06943,0.000481144,0.000481144,0.000481144
69,183.774,0.82252,0.99015,1.1542,0.66138,0.54781,0.60964,0.51254,0.75342,1.29271,1.08273,0.000466997,0.000466997,0.000466997
70,185.969,0.80516,0.9758,1.15872,0.76455,0.51994,0.61536,0.50554,0.76871,1.27446,1.09044,0.00045285,0.00045285,0.00045285
71,188.071,0.79318,0.96721,1.16262,0.52517,0.58995,0.59149,0.49431,0.81839,1.34044,1.13225,0.000438703,0.000438703,0.000438703
72,190.209,0.77491,1.03314,1.14855,0.70175,0.49715,0.59361,0.49788,0.86127,1.34115,1.18887,0.000424556,0.000424556,0.000424556
73,192.288,0.7518,1.01266,1.10991,0.56898,0.54635,0.59755,0.49212,0.86291,1.33926,1.19322,0.000410409,0.000410409,0.000410409
74,194.344,0.70877,0.8665,1.09523,0.57661,0.52871,0.58389,0.47561,0.81524,1.3726,1.09694,0.000396262,0.000396262,0.000396262
75,196.487,0.79268,0.9849,1.1523,0.79778,0.49735,0.61665,0.52359,0.76647,1.30714,1.0711,0.000382115,0.000382115,0.000382115
76,198.568,0.81776,0.98605,1.15955,0.70892,0.49732,0.61881,0.53367,0.72715,1.28522,1.03676,0.000367967,0.000367967,0.000367967
77,200.697,0.72232,0.91404,1.09419,0.7692,0.44563,0.59978,0.51292,0.76264,1.2804,1.04009,0.00035382,0.00035382,0.00035382
78,202.804,0.77259,1.02863,1.16306,0.62506,0.5174,0.60738,0.51137,0.77157,1.27139,1.052,0.000339673,0.000339673,0.000339673
