epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,54.6153,0.66527,0.67438,1.04612,0.95238,0.7931,0.81535,0.73969,0.48897,0.72418,0.73362,0.0011882,0.0011882,0.0011882
43,57.0443,0.77044,0.74971,1.15702,0.94991,0.7931,0.80963,0.72314,0.49833,0.64728,0.74394,0.0011684,0.0011684,0.0011684
44,59.6521,0.70464,0.7204,1.07154,0.92255,0.8217,0.80401,0.70458,0.53903,0.65745,0.77136,0.0011486,0.0011486,0.0011486
45,62.5142,0.74272,0.78595,1.09926,0.92297,0.82635,0.80851,0.70963,0.57118,0.65408,0.79523,0.0011288,0.0011288,0.0011288
46,65.4749,0.69048,0.71812,1.0677,0.9599,0.82557,0.82559,0.73416,0.55039,0.56509,0.78502,0.001109,0.001109,0.001109
47,68.1413,0.7331,0.76721,1.0818,0.95988,0.82514,0.82674,0.72753,0.5334,0.56887,0.77209,0.0010892,0.0010892,0.0010892
48,70.9058,0.70792,0.73345,1.0451,0.90944,0.82759,0.82964,0.73383,0.51094,0.60754,0.75612,0.0010694,0.0010694,0.0010694
49,73.5671,0.67595,0.73235,1.04687,0.95825,0.79149,0.82743,0.73091,0.48956,0.61997,0.7322,0.0010496,0.0010496,0.0010496
50,76.421,0.70876,0.69422,1.05461,0.95725,0.7931,0.83209,0.73685,0.4952,0.61705,0.72027,0.0010298,0.0010298,0.0010298
51,79.0866,0.63171,0.64889,1.03886,0.95581,0.7931,0.82944,0.7164,0.52829,0.64893,0.73232,0.00101,0.00101,0.00101
52,81.8636,0.635,0.65679,1.0502,0.95565,0.7931,0.82031,0.72509,0.52917,0.57208,0.74422,0.0009902,0.0009902,0.0009902
53,84.4325,0.68163,0.72593,1.04254,0.95585,0.7931,0.81732,0.71526,0.52048,0.52365,0.73962,0.0009704,0.0009704,0.0009704
54,87.2222,0.69524,0.7104,1.08642,0.95476,0.7931,0.81961,0.70108,0.53349,0.48799,0.75215,0.0009506,0.0009506,0.0009506
55,89.779,0.61765,0.6474,1.02309,0.94918,0.7931,0.82059,0.72722,0.52097,0.4785,0.73966,0.0009308,0.0009308,0.0009308
56,92.3736,0.66595,0.68098,1.06685,0.99256,0.75862,0.80331,0.7169,0.49562,0.55081,0.7611,0.000911,0.000911,0.000911
57,94.695,0.6829,0.68657,1.04817,0.98351,0.75862,0.80292,0.70448,0.52717,0.57426,0.7821,0.0008912,0.0008912,0.0008912
