epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,76.17,1.02861,0.87234,1.2858,0.78045,0.625,0.71169,0.50855,0.81495,0.80817,1.07185,0.0011882,0.0011882,0.0011882
43,77.9196,0.93925,0.85837,1.2065,0.97329,0.58333,0.71039,0.51454,0.83282,0.75803,1.08338,0.0011684,0.0011684,0.0011684
44,79.7021,0.9324,0.81248,1.17762,0.93397,0.66667,0.76347,0.56794,0.74837,0.72937,1.03924,0.0011486,0.0011486,0.0011486
45,81.4488,0.99131,0.92099,1.22834,0.9596,0.65981,0.77758,0.5787,0.75189,0.71338,1.04197,0.0011288,0.0011288,0.0011288
46,83.2198,0.8826,0.77676,1.15442,0.97721,0.59557,0.72503,0.53896,0.75289,0.70242,1.03423,0.001109,0.001109,0.001109
47,84.9838,0.88246,0.7865,1.15313,0.79785,0.65785,0.71353,0.54808,0.7291,0.68943,1.01031,0.0010892,0.0010892,0.0010892
48,86.8026,0.96081,0.86907,1.24968,0.92793,0.63889,0.73994,0.54553,0.77972,0.66195,1.03509,0.0010694,0.0010694,0.0010694
49,88.5508,1.062,0.93027,1.37108,0.96563,0.66667,0.75861,0.55566,0.80261,0.69231,1.06607,0.0010496,0.0010496,0.0010496
50,90.3046,0.95793,0.86657,1.19305,0.96284,0.72222,0.80099,0.58163,0.78523,0.66101,1.0476,0.0010298,0.0010298,0.0010298
51,92.1814,0.88344,0.83432,1.19886,0.83008,0.67851,0.74123,0.54889,0.82245,0.67338,1.05106,0.00101,0.00101,0.00101
52,93.9908,0.957,0.8243,1.20785,0.94297,0.68899,0.78577,0.574,0.72329,0.64763,1.00582,0.0009902,0.0009902,0.0009902
53,95.7719,0.97373,0.89477,1.22618,0.88,0.71304,0.78416,0.56772,0.76188,0.67209,1.02106,0.0009704,0.0009704,0.0009704
54,97.5816,0.9274,0.80418,1.2421,0.83131,0.70833,0.75802,0.54092,0.82876,0.73971,1.05695,0.0009506,0.0009506,0.0009506
55,99.3628,0.86567,0.81182,1.16485,0.89312,0.70833,0.76639,0.56126,0.84141,0.69522,1.06912,0.0009308,0.0009308,0.0009308
56,101.144,0.89601,0.82163,1.17368,0.83446,0.70015,0.76389,0.55964,0.80737,0.75658,1.06083,0.000911,0.000911,0.000911
57,102.891,0.8243,0.7535,1.15097,0.91365,0.70833,0.80336,0.57663,0.78018,0.70111,1.03396,0.0008912,0.0008912,0.0008912
