epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.49857,1.31304,3.57426,6.62167,1.62958,0.00328,0.83333,0.34205,0.22881,0.00321,0.81818,0.34494,0.21898,0.783,2.59978,5.4067,1.17692,0.00034296,0.00034296,0.00034296
2,7.77089,1.14317,2.33673,5.21559,1.4873,0.26131,0.29764,0.31498,0.2276,0.26131,0.29764,0.32222,0.22945,0.91653,1.93639,4.55662,1.36216,0.000693278,0.000693278,0.000693278
3,10.8626,1.23611,2.23326,5.00398,1.50384,0.34262,0.42859,0.39968,0.24362,0.34842,0.45017,0.39077,0.26083,1.13759,2.34958,4.03895,1.67379,0.00103652,0.00103652,0.00103652
4,14.006,1.25899,2.09287,4.64729,1.47257,0.15854,0.56229,0.32321,0.1765,0.16022,0.57744,0.31988,0.2112,1.04489,1.69393,7.60758,1.59335,0.00137269,0.00137269,0.00137269
5,17.0362,1.21069,2.11118,4.60443,1.46383,0.36305,0.68788,0.47437,0.24468,0.35646,0.67273,0.45865,0.27407,1.23337,1.5751,3.93128,1.72112,0.00137241,0.00137241,0.00137241
6,20.1229,1.22221,2.00376,4.57176,1.48623,0.5469,0.55223,0.48975,0.35776,0.5469,0.55223,0.49174,0.39715,1.17219,1.6312,4.81718,1.61628,0.00135826,0.00135826,0.00135826
7,23.2261,1.24805,2.01194,4.45929,1.47036,0.47369,0.49865,0.47525,0.30381,0.46511,0.46128,0.45461,0.31308,0.98828,2.47614,4.66047,1.45921,0.00134412,0.00134412,0.00134412
8,26.2603,1.27337,1.98921,4.42866,1.51868,0.41959,0.55724,0.48349,0.28767,0.39016,0.58653,0.47046,0.3644,1.25261,3.35562,5.54426,1.69667,0.00132997,0.00132997,0.00132997
9,29.3407,1.23986,1.85521,4.33691,1.47817,0.40712,0.54352,0.49492,0.33624,0.42965,0.56204,0.50748,0.386,1.0778,1.51129,4.10246,1.4074,0.00131582,0.00131582,0.00131582
10,32.383,1.22322,1.81506,4.2862,1.48252,0.44497,0.57609,0.49128,0.36802,0.49625,0.59461,0.53222,0.41612,1.03443,1.21031,3.31886,1.35831,0.00130168,0.00130168,0.00130168
11,35.5361,1.11651,1.64901,3.81666,1.38247,0.3251,0.63812,0.50568,0.34923,0.35639,0.68409,0.54274,0.39576,1.01983,1.65211,4.22083,1.48507,0.00128753,0.00128753,0.00128753
