epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
12,38.6336,1.17819,1.81547,3.8117,1.46276,0.42303,0.57811,0.43497,0.27228,0.38972,0.54781,0.38723,0.27701,0.95423,1.22508,3.77435,1.35516,0.00127338,0.00127338,0.00127338
13,41.7284,1.14449,1.7342,3.84111,1.37402,0.48471,0.63131,0.51735,0.33911,0.48471,0.63131,0.50023,0.39749,1.01479,1.28893,3.20693,1.42369,0.00125923,0.00125923,0.00125923
14,44.7867,1.24832,1.89348,4.15022,1.48889,0.47803,0.57172,0.44397,0.34802,0.47803,0.57172,0.4413,0.36821,0.81823,1.39341,3.2316,1.18155,0.00124509,0.00124509,0.00124509
15,47.8644,1.13116,1.66212,3.69111,1.36944,0.40537,0.62155,0.52587,0.39446,0.40537,0.62155,0.52671,0.43167,0.87516,1.06537,2.79508,1.24083,0.00123094,0.00123094,0.00123094
16,50.953,1.07559,1.59989,3.58432,1.36671,0.44209,0.71126,0.48928,0.37754,0.44209,0.71126,0.48654,0.4119,0.81378,1.16928,2.64226,1.18298,0.00121679,0.00121679,0.00121679
17,53.9716,1.1033,1.62828,3.44518,1.37167,0.44039,0.58855,0.44438,0.34323,0.44039,0.58855,0.44211,0.36805,0.84456,1.18565,3.0127,1.22516,0.00120265,0.00120265,0.00120265
18,57.0501,1.08172,1.72206,3.55085,1.33501,0.46061,0.60505,0.47381,0.37617,0.46061,0.60505,0.47372,0.39601,0.90193,1.24758,2.97151,1.21549,0.0011885,0.0011885,0.0011885
19,60.1264,1.07643,1.639,3.338,1.33161,0.54694,0.58687,0.51633,0.38936,0.53198,0.56465,0.50971,0.42122,0.81106,1.19382,2.53506,1.17237,0.00117435,0.00117435,0.00117435
20,63.3043,1.17193,1.6321,3.57362,1.38982,0.39622,0.52832,0.37811,0.28329,0.40415,0.54684,0.38063,0.30212,0.76303,1.33704,3.36665,1.13657,0.00116021,0.00116021,0.00116021
21,66.4038,1.08323,1.84144,3.45947,1.33123,0.48424,0.6101,0.51296,0.38805,0.49777,0.62862,0.52184,0.39411,0.86138,1.17545,2.76868,1.17937,0.00114606,0.00114606,0.00114606
22,69.4186,1.13185,1.72039,3.57778,1.3539,0.3961,0.68526,0.53555,0.42494,0.3961,0.68526,0.53555,0.40781,0.75166,1.46409,2.58526,1.10368,0.00113191,0.00113191,0.00113191
23,72.5315,1.12274,1.69113,3.41947,1.37232,0.49942,0.7101,0.57054,0.42398,0.5097,0.7101,0.56057,0.44055,0.87045,1.13389,2.59026,1.16257,0.00111776,0.00111776,0.00111776
24,75.6104,1.09393,1.63364,3.42403,1.32337,0.4851,0.68429,0.53531,0.41195,0.4851,0.68429,0.53531,0.42705,0.84558,1.37061,2.65195,1.18013,0.00110362,0.00110362,0.00110362
25,78.6571,1.04892,1.46666,3.17396,1.31064,0.49093,0.58839,0.49368,0.37848,0.49093,0.58839,0.49224,0.41398,0.93073,1.19027,2.76733,1.22496,0.00108947,0.00108947,0.00108947
26,81.7543,1.0657,1.55073,3.24303,1.33565,0.49563,0.56652,0.51207,0.40583,0.4951,0.60576,0.51138,0.40452,0.73927,1.28471,2.73684,1.07153,0.00107532,0.00107532,0.00107532
27,84.8724,1.06874,1.58494,3.1539,1.30698,0.49514,0.60606,0.52545,0.39715,0.48569,0.59091,0.48975,0.39019,0.86638,1.65732,2.58978,1.14221,0.00106118,0.00106118,0.00106118
28,87.9192,1.05451,1.59641,3.10564,1.30367,0.50458,0.63232,0.52055,0.40722,0.50458,0.63232,0.51579,0.41364,0.72396,1.24154,2.39987,1.07828,0.00104703,0.00104703,0.00104703
29,91.0838,1.00495,1.58184,3.09614,1.29602,0.45754,0.63073,0.49906,0.35652,0.45182,0.61059,0.47992,0.33882,0.80112,1.65769,2.81875,1.10467,0.00103288,0.00103288,0.00103288
30,94.1313,1.05121,1.61165,3.0979,1.31213,0.41368,0.62366,0.46699,0.33537,0.41368,0.62366,0.46496,0.36028,0.8318,1.15474,2.82262,1.1501,0.00101873,0.00101873,0.00101873
31,97.1659,1.03725,1.54701,3.0879,1.33822,0.49803,0.636,0.52353,0.37517,0.51247,0.64443,0.54749,0.42583,0.90097,1.06262,2.50134,1.25984,0.00100459,0.00100459,0.00100459
32,100.21,1.0376,1.54109,3.07255,1.28874,0.56041,0.69428,0.54325,0.43063,0.56041,0.69428,0.53721,0.44066,0.75883,1.06992,2.34247,1.12022,0.00099044,0.00099044,0.00099044
33,103.295,0.9573,1.53927,2.90383,1.24696,0.46966,0.57677,0.54723,0.45595,0.46966,0.57677,0.5441,0.45057,0.68284,1.10626,2.67367,1.02925,0.000976293,0.000976293,0.000976293
34,106.419,1.01381,1.49213,3.04899,1.27992,0.50684,0.68754,0.48412,0.39042,0.50684,0.68754,0.48384,0.41481,0.7586,1.04586,2.4513,1.08053,0.000962146,0.000962146,0.000962146
35,113.828,0.98413,1.47115,3.0665,1.26206,0.45498,0.68623,0.5047,0.39999,0.43151,0.65256,0.47794,0.40141,0.69244,1.18412,2.4525,1.04009,0.000947999,0.000947999,0.000947999
36,121.989,0.98462,1.62792,2.89856,1.2751,0.49779,0.61142,0.50895,0.41708,0.49594,0.60696,0.5063,0.39276,0.67559,1.37843,2.73224,1.02306,0.000933851,0.000933851,0.000933851
37,128.288,0.94698,1.48935,2.90498,1.23906,0.46587,0.56229,0.53015,0.42596,0.47035,0.62139,0.52944,0.41977,0.68666,1.06385,2.78241,1.01543,0.000919704,0.000919704,0.000919704
38,131.323,0.95823,1.50121,2.89004,1.24106,0.50494,0.64201,0.51114,0.39903,0.50494,0.64201,0.50615,0.42044,0.70637,1.09947,2.39951,1.02944,0.000905557,0.000905557,0.000905557
39,134.434,0.99058,1.5731,2.98317,1.25702,0.54659,0.59429,0.49132,0.38959,0.54659,0.59429,0.49098,0.39675,0.71933,1.2034,2.48697,1.04624,0.00089141,0.00089141,0.00089141
40,137.494,0.96048,1.47915,2.99254,1.27739,0.58194,0.57946,0.53003,0.41543,0.58194,0.57946,0.52929,0.43941,0.72434,1.09551,2.36517,1.06814,0.000877263,0.000877263,0.000877263
41,142.924,0.95009,1.2908,2.73899,1.23949,0.46918,0.65343,0.56201,0.44856,0.46918,0.65343,0.56202,0.46002,0.73632,1.13085,2.41252,1.10013,0.000863116,0.000863116,0.000863116
42,151.076,0.93467,1.43787,2.67815,1.2215,0.46076,0.67316,0.56824,0.45618,0.46076,0.67316,0.5694,0.46756,0.72887,1.13307,2.56526,1.08765,0.000848969,0.000848969,0.000848969
43,159.482,0.97167,1.42024,2.73145,1.26364,0.49134,0.62565,0.53525,0.41796,0.49134,0.62565,0.53088,0.44397,0.75259,1.04591,2.35682,1.07471,0.000834822,0.000834822,0.000834822
44,167.604,0.99813,1.43222,2.7919,1.27195,0.53089,0.49865,0.52795,0.41148,0.53089,0.49865,0.52338,0.42904,0.7198,1.04531,2.39215,1.07766,0.000820675,0.000820675,0.000820675
45,176.075,0.94689,1.39341,2.69774,1.22446,0.51915,0.62103,0.55646,0.44137,0.52916,0.59592,0.55222,0.45843,0.71806,1.02778,2.30695,1.05705,0.000806528,0.000806528,0.000806528
46,184.709,0.9023,1.35606,2.61983,1.21469,0.5494,0.69575,0.53262,0.4293,0.5494,0.69575,0.53608,0.46007,0.81048,1.03394,2.45706,1.13622,0.00079238,0.00079238,0.00079238
47,193.201,0.93853,1.34718,2.58204,1.26198,0.49766,0.64714,0.55274,0.46352,0.49766,0.64714,0.55056,0.46853,0.65818,1.05139,2.1792,1.00914,0.000778233,0.000778233,0.000778233
48,201.714,0.96399,1.44994,2.75107,1.2771,0.4375,0.70747,0.56645,0.4678,0.44133,0.65152,0.55204,0.44965,0.66811,1.09342,2.58826,1.00021,0.000764086,0.000764086,0.000764086
49,210.786,0.94385,1.40992,2.64132,1.25405,0.43422,0.70488,0.56659,0.46262,0.43422,0.70488,0.56296,0.44816,0.69293,1.25067,2.48884,1.0217,0.000749939,0.000749939,0.000749939
50,219.992,0.85389,1.29209,2.36505,1.17281,0.45343,0.71684,0.52446,0.4219,0.45343,0.71684,0.51283,0.41327,0.72298,1.20313,2.61631,1.04589,0.000735792,0.000735792,0.000735792
51,228.857,1.00007,1.45915,2.67592,1.27525,0.50988,0.59565,0.58725,0.46982,0.52799,0.55619,0.56873,0.46534,0.74447,1.20047,2.40646,1.06792,0.000721645,0.000721645,0.000721645
52,238.195,0.94751,1.36059,2.62274,1.23114,0.5243,0.64867,0.59841,0.45636,0.50675,0.62492,0.58291,0.45718,0.7618,1.3137,2.39533,1.0797,0.000707498,0.000707498,0.000707498
53,247.037,0.87716,1.42344,2.50916,1.18801,0.62622,0.51799,0.57787,0.46858,0.62622,0.51799,0.57779,0.46732,0.70783,1.17039,2.15901,1.04404,0.000693351,0.000693351,0.000693351
54,255.889,0.86372,1.31874,2.40911,1.21615,0.54849,0.71758,0.65141,0.52969,0.56201,0.72074,0.64177,0.512,0.70485,1.25169,2.32955,1.04712,0.000679204,0.000679204,0.000679204
55,265.054,0.92168,1.44882,2.6498,1.25912,0.60855,0.58653,0.62628,0.48972,0.60476,0.60505,0.63428,0.49949,0.75498,1.17014,2.2182,1.0642,0.000665057,0.000665057,0.000665057
56,274.578,0.82299,1.26484,2.24294,1.14889,0.63356,0.5688,0.59027,0.46444,0.61643,0.54665,0.57465,0.46364,0.7255,1.22676,2.23863,1.04851,0.000650909,0.000650909,0.000650909
57,284.147,0.88079,1.25937,2.32008,1.19246,0.65531,0.5835,0.61352,0.478,0.64405,0.56128,0.59956,0.48672,0.71797,1.01251,2.15922,1.03599,0.000636762,0.000636762,0.000636762
58,293.786,0.93388,1.35628,2.57723,1.21925,0.59923,0.53808,0.59368,0.44868,0.59923,0.53808,0.59179,0.45801,0.73132,1.03349,2.24271,1.05507,0.000622615,0.000622615,0.000622615
59,303.852,0.96793,1.31932,2.40104,1.2493,0.49193,0.66505,0.55924,0.44375,0.49193,0.66505,0.55066,0.45257,0.70689,1.12211,2.29689,1.01895,0.000608468,0.000608468,0.000608468
60,314.112,0.8427,1.29544,2.35756,1.16608,0.8732,0.59743,0.67222,0.52203,0.8732,0.59743,0.65522,0.53322,0.7053,1.16241,2.51346,1.02963,0.000594321,0.000594321,0.000594321
61,323.559,0.85815,1.37892,2.35469,1.20591,0.70415,0.60606,0.66034,0.50159,0.70415,0.60606,0.65012,0.50078,0.71114,1.28261,1.95363,1.07919,0.000580174,0.000580174,0.000580174
62,332.598,0.8881,1.30676,2.39507,1.20682,0.55552,0.66382,0.58817,0.46756,0.54295,0.64202,0.57939,0.47229,0.73089,1.24335,2.14733,1.06036,0.000566027,0.000566027,0.000566027
63,341.417,0.81958,1.29412,2.19542,1.16185,0.65959,0.65541,0.64801,0.52755,0.65959,0.65541,0.64841,0.5102,0.6882,1.29009,2.05856,1.0385,0.00055188,0.00055188,0.00055188
64,350.737,0.87404,1.19504,2.23574,1.20171,0.83232,0.58384,0.66452,0.54337,0.83232,0.58384,0.6515,0.51616,0.6756,1.28924,2.58062,1.02072,0.000537733,0.000537733,0.000537733
65,359.283,0.85306,1.24366,2.17076,1.17818,0.84173,0.59936,0.6815,0.56604,0.84173,0.59936,0.67456,0.55104,0.64059,1.12342,2.53661,0.99314,0.000523586,0.000523586,0.000523586
66,367.743,0.84727,1.21692,2.28239,1.16556,0.60602,0.67139,0.64904,0.51966,0.60088,0.6464,0.64184,0.52258,0.69725,1.10451,2.23687,1.01185,0.000509438,0.000509438,0.000509438
67,376.05,0.88364,1.30927,2.25502,1.19739,0.64241,0.64208,0.64874,0.53495,0.64241,0.64208,0.65005,0.52952,0.65526,1.16621,2.24706,0.99899,0.000495291,0.000495291,0.000495291
68,384.711,0.7764,1.17251,2.13594,1.13239,0.71947,0.60505,0.66176,0.54251,0.71947,0.60505,0.65138,0.53258,0.65518,1.3041,1.99463,0.99059,0.000481144,0.000481144,0.000481144
69,392.906,0.83037,1.19763,1.9653,1.1781,0.61267,0.56835,0.64019,0.54265,0.61267,0.56835,0.63216,0.52474,0.63538,1.25362,1.99676,0.97504,0.000466997,0.000466997,0.000466997
70,401.167,0.82897,1.15225,2.07516,1.17494,0.58838,0.59308,0.62103,0.50967,0.58838,0.59308,0.6114,0.50336,0.66082,1.20947,2.07503,0.99629,0.00045285,0.00045285,0.00045285
71,409.074,0.7845,1.19302,2.00899,1.13443,0.63419,0.67031,0.64057,0.52455,0.63086,0.62988,0.62612,0.52361,0.66455,1.17403,1.80755,1.00066,0.000438703,0.000438703,0.000438703
72,412.565,0.79545,1.20926,2.00929,1.13933,0.80845,0.57381,0.68632,0.5634,0.80845,0.57381,0.67654,0.54788,0.71082,1.14345,1.71478,1.03276,0.000424556,0.000424556,0.000424556
73,415.707,0.83124,1.28908,2.05606,1.15126,0.71256,0.66631,0.6851,0.54471,0.84497,0.56349,0.67209,0.54418,0.72625,1.153,1.68901,1.05575,0.000410409,0.000410409,0.000410409
74,418.784,0.8269,1.2646,2.05943,1.15716,0.69795,0.60168,0.63878,0.51398,0.69795,0.60168,0.62839,0.51666,0.7277,1.18892,2.10998,1.06222,0.000396262,0.000396262,0.000396262
75,421.88,0.79045,1.22359,1.97057,1.09684,0.80763,0.57205,0.61323,0.49918,0.80763,0.57205,0.59556,0.49528,0.73331,1.23881,2.87498,1.04915,0.000382115,0.000382115,0.000382115
76,425.287,0.83111,1.11623,1.99636,1.14785,0.72838,0.57756,0.65874,0.5384,0.72838,0.57756,0.64811,0.53208,0.70256,1.22692,2.83551,1.0238,0.000367967,0.000367967,0.000367967
77,428.547,0.82075,1.21668,1.86426,1.15606,0.73174,0.60168,0.66846,0.54358,0.73174,0.60168,0.67007,0.54448,0.68033,1.1726,2.41787,0.99745,0.00035382,0.00035382,0.00035382
78,431.902,0.76679,1.17508,1.87097,1.15744,0.7569,0.61367,0.67465,0.56499,0.7569,0.61367,0.67465,0.55195,0.66416,1.1702,1.75029,0.99072,0.000339673,0.000339673,0.000339673
79,434.964,0.79072,1.1874,1.92866,1.14067,0.6783,0.66787,0.7102,0.56819,0.6783,0.66787,0.69984,0.56398,0.69197,1.14487,2.00873,0.99719,0.000325526,0.000325526,0.000325526
80,437.982,0.79711,1.1801,2.04731,1.1499,0.78274,0.60888,0.68617,0.52256,0.78274,0.60888,0.66263,0.53312,0.73284,1.17385,2.28631,1.0264,0.000311379,0.000311379,0.000311379
81,440.982,0.76402,1.16592,1.83878,1.1223,0.79949,0.57104,0.63871,0.51159,0.79949,0.57104,0.62602,0.51574,0.71935,1.19565,1.88651,1.02155,0.000297232,0.000297232,0.000297232
82,444.056,0.73632,1.1385,1.84138,1.11062,0.65718,0.58602,0.64475,0.52592,0.73451,0.51549,0.62753,0.52443,0.68286,1.22476,1.82883,0.98807,0.000283085,0.000283085,0.000283085
83,447.132,0.78921,1.17816,1.87042,1.1333,0.70354,0.56318,0.63698,0.52111,0.6787,0.54116,0.62171,0.50815,0.6555,1.31856,1.83317,0.97181,0.000268938,0.000268938,0.000268938
84,450.143,0.81534,1.20248,1.98701,1.15262,0.65995,0.56835,0.64589,0.52691,0.63766,0.54613,0.62704,0.50422,0.6683,1.30317,1.8439,0.98998,0.000254791,0.000254791,0.000254791
85,453.256,0.78917,1.08479,1.86108,1.13443,0.74911,0.59055,0.68712,0.55116,0.71945,0.56841,0.65634,0.52762,0.7127,1.3211,1.85942,1.02206,0.000240644,0.000240644,0.000240644
86,456.245,0.74956,1.16755,1.78927,1.12098,0.84071,0.57475,0.69496,0.58208,0.84071,0.57475,0.67286,0.55586,0.69934,1.22264,1.69982,1.02028,0.000226497,0.000226497,0.000226497
87,459.222,0.76292,1.12993,1.82963,1.14028,0.75453,0.63331,0.69507,0.58587,0.77898,0.64432,0.69888,0.56758,0.69266,1.11686,1.66493,1.01706,0.000212349,0.000212349,0.000212349
88,462.23,0.79658,1.09833,1.9436,1.12722,0.84386,0.58505,0.69736,0.59074,0.81351,0.63757,0.70431,0.57635,0.67188,1.10231,1.64776,1.00719,0.000198202,0.000198202,0.000198202
89,465.217,0.71064,1.07614,1.73,1.10214,0.86397,0.57641,0.69772,0.58305,0.87799,0.60213,0.70447,0.55905,0.66596,1.1544,1.62812,1.01554,0.000184055,0.000184055,0.000184055
90,468.23,0.70531,1.07754,1.74893,1.06881,0.74456,0.60294,0.67705,0.56174,0.76955,0.62506,0.69849,0.53125,0.67681,1.19511,1.77306,1.03035,0.000169908,0.000169908,0.000169908
91,492.472,0.63878,0.99817,1.55547,1.14545,0.65378,0.6015,0.62433,0.50708,0.63434,0.5802,0.61132,0.49016,0.69803,1.31438,2.01294,1.04801,0.000155761,0.000155761,0.000155761
92,495.451,0.62185,0.97175,1.39731,1.13281,0.70969,0.61353,0.65261,0.52024,0.74907,0.58817,0.63873,0.50941,0.69792,1.31655,1.8722,1.04943,0.000141614,0.000141614,0.000141614
93,498.441,0.61844,0.99213,1.36263,1.14427,0.83013,0.57172,0.6607,0.52758,0.83013,0.57172,0.65959,0.51909,0.70484,1.25711,1.74782,1.04957,0.000127467,0.000127467,0.000127467
94,501.477,0.56126,0.84414,1.23182,1.12572,0.68993,0.63328,0.66616,0.53734,0.68993,0.63328,0.66276,0.5284,0.70394,1.18791,1.78527,1.05026,0.00011332,0.00011332,0.00011332
95,504.474,0.6138,0.875,1.21976,1.13258,0.83267,0.527,0.65549,0.53482,0.83267,0.527,0.65403,0.52047,0.70252,1.16825,1.79619,1.05992,9.91726e-05,9.91726e-05,9.91726e-05
96,507.496,0.53807,0.83228,1.14517,1.05662,0.80786,0.54807,0.65327,0.53011,0.80786,0.54807,0.65231,0.52403,0.70765,1.15406,1.85537,1.06478,8.50255e-05,8.50255e-05,8.50255e-05
97,510.512,0.56656,0.90397,1.27418,1.08872,0.82903,0.52144,0.6527,0.52779,0.82903,0.52144,0.65226,0.51638,0.716,1.15059,1.86445,1.07304,7.08784e-05,7.08784e-05,7.08784e-05
98,513.564,0.59977,0.82155,1.19295,1.11173,0.77851,0.55657,0.64736,0.53191,0.77851,0.55657,0.64829,0.52126,0.71298,1.15153,1.88016,1.07145,5.67313e-05,5.67313e-05,5.67313e-05
99,516.568,0.53353,0.81547,1.12997,1.05867,0.77285,0.55009,0.65443,0.53486,0.77285,0.55009,0.6549,0.52593,0.71008,1.16329,1.81005,1.07282,4.25842e-05,4.25842e-05,4.25842e-05
100,519.549,0.55536,0.84028,1.11213,1.07378,0.81745,0.53523,0.66438,0.54367,0.81745,0.53523,0.6652,0.53403,0.70149,1.16024,1.76536,1.06546,2.84371e-05,2.84371e-05,2.84371e-05
