epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.30688,1.55558,2.87863,1.72786,0.00463,0.87692,0.41134,0.24172,0.87048,2.81669,1.20086,0.0002,0.0002,0.0002
2,5.80159,1.30732,2.31628,1.49723,0.00463,0.87692,0.20558,0.12012,0.94612,2.80622,1.25527,0.000415842,0.000415842,0.000415842
3,8.29493,1.19174,1.86694,1.40204,0.94223,0.2511,0.60158,0.38309,0.95617,2.41567,1.21733,0.000627328,0.000627328,0.000627328
4,10.6809,1.25069,1.78282,1.44421,0.75539,0.38018,0.44957,0.23367,1.23124,2.54742,1.61679,0.000834458,0.000834458,0.000834458
5,13.218,1.27627,1.68591,1.46318,0.1955,0.24615,0.14625,0.06298,1.42507,2.87887,1.77693,0.00103723,0.00103723,0.00103723
6,15.6656,1.29863,1.70265,1.46057,0.11463,0.58462,0.08609,0.04631,1.31014,3.37665,1.83852,0.00123565,0.00123565,0.00123565
7,18.1192,1.24824,1.55795,1.42774,0.62691,0.36923,0.44892,0.25235,1.23545,2.13194,1.68726,0.00142971,0.00142971,0.00142971
8,20.5536,1.19704,1.54904,1.3972,0.64512,0.41958,0.43129,0.23665,1.42799,2.3549,1.98989,0.00161942,0.00161942,0.00161942
9,22.973,1.29624,1.52701,1.43953,0.66102,0.4,0.45969,0.2651,1.36811,2.21314,1.83914,0.00180477,0.00180477,0.00180477
10,25.424,1.27936,1.49757,1.41938,0.59625,0.29231,0.34525,0.21672,1.34851,3.1955,1.98649,0.0018218,0.0018218,0.0018218
11,27.8259,1.18472,1.37632,1.38587,0.81027,0.49231,0.55181,0.35469,1.17497,2.54647,1.68765,0.001802,0.001802,0.001802
12,30.1906,1.27973,1.46627,1.42649,0.14947,0.35385,0.11848,0.07172,1.31437,5.56306,1.74974,0.0017822,0.0017822,0.0017822
13,32.5974,1.27715,1.40031,1.46485,0.27993,0.44615,0.26961,0.14945,1.35574,4.0656,1.83099,0.0017624,0.0017624,0.0017624
14,35.1617,1.28421,1.3776,1.41341,0.46551,0.32161,0.33407,0.20984,1.17389,3.23285,1.63585,0.0017426,0.0017426,0.0017426
15,37.5723,1.26962,1.39784,1.40968,0.58986,0.43077,0.47321,0.28981,1.18493,2.49913,1.54434,0.0017228,0.0017228,0.0017228
16,40.0731,1.45502,1.41152,1.65761,0.60738,0.55385,0.56526,0.30967,1.1679,2.9577,1.61653,0.001703,0.001703,0.001703
17,42.509,1.2711,1.40809,1.38984,0.57699,0.55385,0.61362,0.39272,1.06332,2.15686,1.4216,0.0016832,0.0016832,0.0016832
18,44.8415,1.16402,1.20946,1.33152,0.64115,0.50769,0.58525,0.37517,1.1029,1.89449,1.3873,0.0016634,0.0016634,0.0016634
19,47.2258,1.09808,1.21759,1.33022,0.73414,0.58462,0.65393,0.36087,1.24439,2.21214,1.5534,0.0016436,0.0016436,0.0016436
20,49.6412,1.18721,1.28288,1.33906,0.75317,0.51647,0.57081,0.34339,1.16427,1.89843,1.44874,0.0016238,0.0016238,0.0016238
21,52.0314,1.12206,1.10864,1.32971,0.71136,0.52308,0.57909,0.37905,1.07478,1.60295,1.36962,0.001604,0.001604,0.001604
22,54.4408,0.94335,2.20927,1.17811,0.83002,0.49231,0.57681,0.40616,1.09601,1.44801,1.39194,0.0015842,0.0015842,0.0015842
23,56.7693,1.01403,1.10385,1.25652,0.82809,0.59294,0.67742,0.41704,1.12152,1.17374,1.40121,0.0015644,0.0015644,0.0015644
24,59.1698,1.16679,1.15825,1.37593,0.80985,0.58977,0.69828,0.41287,1.24058,1.25657,1.52575,0.0015446,0.0015446,0.0015446
25,61.5121,1.12604,1.17755,1.30392,0.88333,0.53846,0.6913,0.40811,1.13439,1.15503,1.46679,0.0015248,0.0015248,0.0015248
26,64.919,1.00927,0.96717,1.23049,0.74297,0.72308,0.74615,0.37447,1.25313,1.25835,1.58227,0.001505,0.001505,0.001505
27,68.9266,1.12439,1.06791,1.30783,0.86838,0.71057,0.77121,0.49679,0.9945,0.97674,1.27933,0.0014852,0.0014852,0.0014852
28,71.7688,1.22415,1.26207,1.3439,0.81328,0.73846,0.76619,0.50472,1.04038,0.90732,1.3141,0.0014654,0.0014654,0.0014654
29,74.0488,1.15823,1.01877,1.29931,0.7212,0.70769,0.71594,0.46919,0.99614,0.9834,1.28668,0.0014456,0.0014456,0.0014456
30,76.5394,1.03115,1.17332,1.28186,0.84508,0.67146,0.76469,0.54812,0.87175,0.86421,1.16471,0.0014258,0.0014258,0.0014258
31,79.1528,1.00533,0.98087,1.26788,0.92979,0.70769,0.825,0.59316,0.88796,0.7356,1.17543,0.001406,0.001406,0.001406
32,82.0448,1.07014,0.98724,1.27085,0.9899,0.69231,0.82209,0.5819,0.88522,0.77157,1.20068,0.0013862,0.0013862,0.0013862
33,85.376,0.99726,0.9616,1.25328,0.86321,0.77671,0.81815,0.55803,0.85959,0.87844,1.215,0.0013664,0.0013664,0.0013664
34,89.1519,1.06377,1.10941,1.27841,0.81335,0.67692,0.77081,0.51049,0.9055,1.00473,1.20496,0.0013466,0.0013466,0.0013466
